iter	RMSE
0	0.8257482738
1	0.8126869979
2	0.7962741798
3	0.7835154538
4	0.7700457419
5	0.7601693586
6	0.7468346739
7	0.7279579564
8	0.7143250023
9	0.6954747721
10	0.6848660777
11	0.6741207252
12	0.6641454505
13	0.6540936878
14	0.6487172849
15	0.6332733535
16	0.6228660384
17	0.6077976563
18	0.5994124685
19	0.5910411602
20	0.5786854586
21	0.5718703385
22	0.5638491314
23	0.5570967636
24	0.5506260256
25	0.5421672729
26	0.5346873175
27	0.5260685792
28	0.5194129312
29	0.5121911756
30	0.5042456352
31	0.4975879236
32	0.4909569302
33	0.482980752
34	0.4718306546
35	0.4664300606
36	0.4625630989
37	0.4573887645
38	0.4458107967
39	0.4399419623
40	0.4344647125
41	0.4284771347
42	0.4194251685
43	0.413557866
44	0.4070000282
45	0.4015260008
46	0.3963049765
47	0.3894295439
48	0.3825967121
49	0.3778897405
50	0.3724993981
51	0.3670127433
52	0.3611717071
53	0.3550756777
54	0.3494660076
55	0.3429001601
56	0.3387435416
57	0.3343340381
58	0.3293482974
59	0.3247889195
60	0.3198669025
61	0.3155519507
62	0.3113426007
63	0.3072106232
64	0.3021774797
65	0.2975312506
66	0.2932017386
67	0.2887486338
68	0.285131281
69	0.2810163602
70	0.2769773963
71	0.2733014568
72	0.2693162846
73	0.2655173043
74	0.2618327813
75	0.2582625662
76	0.2548264251
77	0.2514308797
78	0.2480747805
79	0.2441665061
80	0.2406816686
81	0.2377167456
82	0.2349663878
83	0.2318515193
84	0.2288329485
85	0.2255514922
86	0.222368671
87	0.2189794157
88	0.2160705721
89	0.2132492149
90	0.2104464978
91	0.2075387614
92	0.2047277795
93	0.2022144209
94	0.1996593898
95	0.1972309747
96	0.194653689
97	0.1921656298
98	0.1896606662
99	0.1872321257
100	0.1849516463
101	0.1827319276
102	0.1805006427
103	0.1783185738
104	0.1761695756
105	0.1739498924
106	0.1717162124
107	0.1693931064
108	0.1673544865
109	0.1653456274
110	0.1632412912
111	0.1613108503
112	0.1592823945
113	0.1574081842
